name,sub_category_id,
レザーベルト,29,
金属ベルト,29,
その他,29,
一般水着,30,
スポーツ用,30,
アクセサリー,30,
その他,30,
ソックス,31,
レギンス/スパッツ,31,
レッグウォーマー,31,
その他,31,
トランクス,32,
ボクサーパンツ,32,
その他,32,
すべて,33,
トップス,34,
アウター,34,
パンツ,34,
スカート,34,
ワンピース,34,
ベビードレス,34,
おくるみ,34,
下着/肌着,34,
パジャマ,34,
ロンパース,34,
その他,34,
トップス,35,
アウター,35,
パンツ,35,
おくるみ,35,
下着/肌着,35,
パジャマ,35,
ロンパース,35,
その他,35,
トップス,36,
アウター,36,
パンツ,36,
おくるみ,36,
下着/肌着,36,
パジャマ,36,
ロンパース,36,
その他,36,
コート,37,
ジャケット/上着,37,
トップス(Tシャツ/カットソー),37,
トップス(トレーナー),37,
トップス(チュニック),37,
トップス(タンクトップ),37,
トップス(その他),37,
スカート,37,
パンツ,37,
ワンピース,37,
セットアップ,37,
パジャマ,37,
フォーマル/ドレス,37,
和服,37,
浴衣,37,
甚平,37,
水着,37,
その他,37,
コート,38,
ジャケット/上着,38,
トップス(Tシャツ/カットソー),38,
トップス(トレーナー),38,
トップス(その他),38,
パンツ,38,
セットアップ,38,
パジャマ,38,
フォーマル/ドレス,38,
和服,38,
浴衣,38,
甚平,38,
水着,38,
その他,38,
コート,39,
ジャケット/上着,39,
トップス(Tシャツ/カットソー),39,
トップス(トレーナー),39,
トップス(その他),39,
ボトムス,39,
パジャマ,39,
その他,39,
スニーカー,40,
サンダル,40,
ブーツ,40,
長靴,40,
その他,40,
靴下/スパッツ,41,
帽子,41,
エプロン,41,
サスペンダー,41,
タイツ,41,
ハンカチ,41,
バンダナ,41,
ベルト,41,
マフラー,41,
傘,41,
手袋,41,
スタイ,41,
バッグ,41,
その他,41,
おむつ用品,42,
おまる/補助便座,42,
トレーニングパンツ,42,
ベビーバス,42,
お風呂用品,42,
その他,42,
ベビーカー,43,
抱っこひも/スリング,43,
チャイルドシート,43,
その他,43,
ミルク,44,
ベビーフード,44,
ベビー用食器,44,
その他,44,
ベッド,45,
布団/毛布,45,
イス,45,
たんす,45,
その他,45,
おふろのおもちゃ,46,
がらがら,46,
オルゴール,46,
ベビージム,46,
手押し車/カタカタ,46,
知育玩具,46,
その他,46,
お宮参り用品,47,
お食い初め用品,47,
アルバム,47,
手形/足型,47,
その他,47,
母子手帳用品,48,
その他,48,
食器,49,
調理器具,49,
収納/キッチン雑貨,49,
弁当用品,49,
カトラリー(スプーン等),49,
テーブル用品,49,
容器,49,
エプロン,49,
アルコールグッズ,49,
浄水器,49,
その他,49,
セミシングルベッド,50,
シングルベッド,50,
セミダブルベッド,50,
ダブルベッド,50,
ワイドダブルベッド,50,
クイーンベッド,50,
キングベッド,50,
脚付きマットレスベッド,50,
マットレス,50,
すのこベッド,50,
オフトベッド/システムベッド,50,
簡易ベッド/折りたたみベッド,50,
収納付き,50,
その他,50,
ソファセット,51,
シングルソファ,51,
ラプソジャ,51,
トリプルソファ,51,
オットマン,51,
コーナーソファ,51,
ビーズソファ/クッションソファ,51,
ローソファ/フロアソファ,51,
ソファベッド,51,
応接セット,51,
ソファカバー,51,
リクライニングソファ,51,
その他,51,
一般,52,
スツール,52,
ダイニングチェア,52,
ハイバックチェア,52,
ロッキングチェア,52,
座椅子,52,
折り畳みイス,52,
デスクチェア,52,
その他,52,
こたつ,53,
カウンターテーブル,53,
サイドテーブル,53,
センターテーブル,53,
ダイニングテーブル,53,
座卓/ちゃぶ台,53,
アウトドア用,53,
パソコン用,53,
事務机/学習机,53,
その他,53,
リビング収納,54,
キッチン収納,54,
玄関/屋外収納,54,
バス/トイレ収納,54,
本収納,54,
本/CD/DVD収納,54,
洋服タンス/押し入れ収納,54,
電話台/ファックス台,54,
ドレッサー/鏡台,54,
棚/ラック,54,
ケース/ボックス,54,
その他,54,
ラグ,55,
カーペット,55,
ホットカーペット,55,
玄関/キッチンマット,55,
トイレ/バスマット,55,
その他,55,
カーテン,56,
ブラインド,56,
ロールスクリーン,56,
のれん,56,
その他,56,
蛍光灯/電球,57,
天井照明,57,
フロアスタンド,57,
その他,57,
布団/毛布,58,
枕,58,
シーツ/カバー,58,
その他,58,
ごみ箱,59,
